timestamp,accX,accY,accZ
0,-0.69,0.78,1.03
16,-0.58,0.68,0.95
32,-0.42,0.34,0.88
48,-0.06,0.08,0.53
64,0.26,-0.21,0.42
80,0.36,-0.32,0.27
96,0.30,-0.38,0.23
112,0.06,-0.14,0.34
128,-0.09,0.06,1.04
144,-0.29,0.25,0.92
160,-0.39,0.41,1.10
176,-0.47,0.54,1.20
192,-0.53,0.58,1.17
208,-0.52,0.46,1.01
224,-0.48,0.49,0.90
240,-0.50,0.65,0.84
256,-0.55,0.77,0.80
272,-0.55,0.64,1.05
288,-0.51,0.49,1.16
304,-0.41,0.30,1.09
320,-0.23,0.09,0.90
336,-0.01,-0.13,0.69
352,0.17,-0.17,0.58
368,0.13,0.03,0.45
384,0.00,0.07,0.63
400,-0.19,-0.34,1.13
416,-0.42,-0.04,1.14
432,-0.42,0.07,1.04
448,-0.38,0.20,0.96
464,-0.35,0.20,0.89
480,-0.35,0.13,0.85
496,-0.32,-0.03,0.83
512,-0.30,-0.05,0.93
528,-0.37,0.01,1.12
544,-0.49,0.23,1.21
560,-0.55,0.43,1.55
576,-0.58,0.62,1.52
592,-0.44,0.83,0.89
608,-0.20,0.89,0.75
624,-0.12,0.50,0.75
640,-0.24,0.21,0.70
656,-0.26,-0.11,1.10
672,-0.22,-0.30,1.17
688,-0.15,-0.37,0.95
704,-0.09,-0.14,0.61
720,-0.08,0.24,0.45
736,-0.16,0.36,0.54
752,-0.25,0.45,0.84
768,-0.40,0.54,0.92
784,-0.56,0.77,0.98
800,-0.65,0.92,1.19
816,-0.70,1.08,1.25
832,-0.67,1.42,1.17
848,-0.47,1.30,0.89
864,-0.23,0.48,0.69
880,-0.19,-0.05,0.76
896,-0.15,-0.46,0.84
912,-0.10,-0.56,0.75
928,-0.07,-0.29,0.90
944,-0.12,0.09,0.72
960,-0.13,0.16,0.85
976,-0.28,0.47,0.78
992,-0.37,0.46,0.83
1008,-0.41,0.39,0.84
1024,-0.49,0.45,0.94
1040,-0.58,0.53,1.08
1056,-0.65,0.77,1.28
1072,-0.71,0.83,1.43
1088,-0.67,0.98,1.06
1104,-0.47,1.16,1.00
1120,-0.19,0.79,0.70
1136,-0.14,0.38,0.63
1152,-0.18,-0.47,0.82
1168,-0.22,-0.68,0.94
1184,-0.22,-0.87,1.05
1200,-0.18,-0.51,1.28
1216,-0.09,-0.42,0.72
1232,-0.05,-0.22,0.83
1248,-0.14,0.30,0.48
1264,-0.25,0.51,0.66
1280,-0.35,0.62,0.77
1296,-0.48,0.97,0.96
1312,-0.56,1.11,0.97
1328,-0.60,0.90,1.16
1344,-0.68,0.74,1.49
1360,-0.69,0.71,1.12
1376,-0.53,0.65,1.14
1392,-0.28,0.46,0.90
1408,-0.12,-0.02,0.74
1424,-0.08,-0.80,0.75
1440,-0.06,-0.48,0.71
1456,-0.02,-0.28,0.55
1472,-0.03,-0.07,0.67
1488,-0.12,0.01,0.81
1504,-0.21,0.10,0.56
1520,-0.25,0.08,0.21
1536,-0.28,-0.19,0.90
1552,-0.21,-0.36,1.01
1568,-0.33,0.19,0.93
1584,-0.49,0.54,1.17
1600,-0.65,0.73,1.49
1616,-0.74,0.64,1.86
1632,-0.79,0.62,1.53
1648,-0.67,0.78,1.04
1664,-0.41,0.87,1.01
1680,-0.25,0.40,0.86
1696,-0.23,-0.03,0.80
1712,-0.20,-0.54,0.64
1728,-0.17,-0.75,0.77
1744,-0.07,-0.84,0.65
1760,0.02,-0.57,0.61
1776,0.06,-0.37,0.66
1792,-0.01,0.06,0.45
1808,-0.15,0.28,0.17
1824,-0.32,0.34,0.90
1840,-0.36,0.39,1.26
1856,-0.51,0.85,1.23
1872,-0.60,1.22,1.28
1888,-0.68,1.05,1.37
1904,-0.75,0.97,1.41
1920,-0.63,0.96,0.96
1936,-0.38,0.69,0.85
1952,-0.14,-0.03,0.80
1968,-0.06,-0.65,0.64
1984,0.01,-0.86,0.65
