timestamp,accX,accY,accZ
0,0.30,0.14,0.95
16,0.30,0.14,0.95
32,0.30,0.15,0.95
48,0.29,0.16,0.96
64,0.29,0.17,0.96
80,0.29,0.17,0.96
96,0.29,0.16,0.96
112,0.28,0.17,0.96
128,0.29,0.16,0.95
144,0.29,0.15,0.95
160,0.29,0.15,0.96
176,0.30,0.16,0.96
192,0.31,0.11,0.97
208,0.27,0.21,0.97
224,0.28,0.17,0.96
240,0.31,0.16,0.96
256,0.32,0.15,0.97
272,0.28,0.15,0.98
288,0.29,0.19,0.97
304,0.32,0.20,0.97
320,0.31,0.16,0.98
336,0.31,0.12,0.99
352,0.31,0.11,0.99
368,0.32,0.12,1.00
384,0.34,0.11,0.99
400,0.28,0.16,0.98
416,0.40,0.06,1.00
432,0.26,0.17,0.99
448,0.26,0.11,0.99
464,0.31,0.17,0.97
480,0.32,0.14,0.97
496,0.27,0.12,0.95
512,0.28,0.13,0.95
528,0.31,0.15,0.96
544,0.28,0.15,0.98
560,0.26,0.17,0.99
576,0.27,0.17,0.99
592,0.25,0.17,1.01
608,0.26,0.16,1.02
624,0.28,0.15,1.02
640,0.29,0.15,1.03
656,0.30,0.13,1.04
672,0.31,0.14,1.04
688,0.31,0.13,1.04
704,0.30,0.15,1.03
720,0.30,0.16,1.03
736,0.31,0.16,1.03
752,0.31,0.17,1.03
768,0.32,0.17,1.04
784,0.32,0.17,1.03
800,0.32,0.17,1.03
816,0.31,0.16,1.02
832,0.30,0.15,1.02
848,0.30,0.16,1.01
864,0.30,0.15,1.00
880,0.30,0.13,0.98
896,0.31,0.14,0.97
912,0.31,0.16,0.96
928,0.31,0.17,0.96
944,0.32,0.18,0.95
960,0.31,0.20,0.95
976,0.32,0.21,0.95
992,0.32,0.21,0.96
1008,0.31,0.23,0.96
1024,0.30,0.25,0.95
1040,0.30,0.26,0.95
1056,0.30,0.27,0.94
1072,0.30,0.27,0.93
1088,0.30,0.26,0.92
1104,0.31,0.26,0.91
1120,0.32,0.25,0.89
1136,0.32,0.26,0.87
1152,0.33,0.25,0.85
1168,0.33,0.23,0.84
1184,0.34,0.21,0.83
1200,0.33,0.19,0.84
1216,0.33,0.18,0.85
1232,0.33,0.17,0.86
1248,0.33,0.17,0.86
1264,0.33,0.17,0.85
1280,0.33,0.15,0.85
1296,0.36,0.15,0.84
1312,0.38,0.15,0.83
1328,0.37,0.15,0.84
1344,0.37,0.16,0.84
1360,0.38,0.17,0.84
1376,0.38,0.15,0.85
1392,0.36,0.15,0.86
1408,0.35,0.13,0.88
1424,0.34,0.13,0.90
1440,0.32,0.13,0.94
1456,0.29,0.15,0.97
1472,0.28,0.15,0.99
1488,0.27,0.19,0.99
1504,0.24,0.21,0.99
1520,0.23,0.22,0.97
1536,0.21,0.24,0.97
1552,0.20,0.24,0.97
1568,0.21,0.21,0.96
1584,0.22,0.20,0.96
1600,0.22,0.20,0.94
1616,0.23,0.22,0.92
1632,0.23,0.23,0.91
1648,0.24,0.22,0.90
1664,0.25,0.20,0.90
1680,0.27,0.18,0.91
1696,0.28,0.17,0.91
1712,0.29,0.18,0.92
1728,0.32,0.21,0.92
1744,0.42,0.24,0.89
1760,0.47,0.24,0.88
1776,0.45,0.25,0.90
1792,0.43,0.25,0.94
1808,0.40,0.26,0.97
1824,0.37,0.25,0.99
1840,0.31,0.28,1.01
1856,0.27,0.31,1.03
1872,0.26,0.30,1.05
1888,0.25,0.30,1.04
1904,0.25,0.28,1.03
1920,0.25,0.25,1.00
1936,0.27,0.24,0.95
1952,0.31,0.24,0.91
1968,0.32,0.24,0.88
1984,0.33,0.26,0.86
